rank,company,what_they_do,total_raised_usd_m,total_rounds,last_round_date,last_round_amount_usd_m,last_round_type,key_investors,current_stage,confidence
1,Altos Labs,Cellular rejuvenation therapies,3000,1,January 2022,3000,Venture financing,Jeff Bezos; Yuri Milner-linked capital; ARCH Venture Partners,Active,Full
2,Insilico Medicine,AI drug discovery,811,6,December 2025,293,IPO,Value Partners; Warburg Pincus; Qiming Venture Partners,IPO,Partial
3,BioSplice Therapeutics,Alternative splicing therapeutics,778,3,April 2021,120,Equity financing,Eventide; aMoon; SymBiosis II,Active,Strong
4,NewLimit,Epigenetic cell reprogramming,715,4,June 2026,435,Series C,Founders Fund; Thrive Capital; Greenoaks,Active,Strong
5,BioAge Labs,Metabolic aging therapeutics,492,5,September 2024,198,IPO,Sofinnova Investments; Andreessen Horowitz; Elad Gil,IPO,Strong
6,Celularity,Placenta-derived cell therapies,408,6,October 2025,2,Preferred private placement,Celgene; United Therapeutics; Dragasac,IPO,Partial
7,Human Longevity,Genomics health intelligence,330,4,Undisclosed 2024,,Equity investment,Celgene; Illumina; TVM Capital Healthcare,Active,Partial
8,Unity Biotechnology,Senolytic aging therapies,297,4,May 2018,85,IPO,ARCH Venture Partners; Fidelity; EcoR1 Capital,Shutdown,Partial
9,Loyal,Dog longevity medicines,250,6,February 2026,100,Series C,age1; Baillie Gifford; Bain Capital Ventures,Active,Partial
10,Life Biosciences,Cellular rejuvenation therapies,237,4,April 2026,80,Series D,Alpha Wave Ventures; LeFrak; Abundance Partners,Active,Strong
11,Proteostasis Therapeutics,Protein-homeostasis therapeutics,235,6,October 2018,74,Public equity offering,Cormorant; NEA; Novartis Venture Fund,Acquired,Strong
12,Nura Bio,Neuroprotective SARM1 inhibitors,215,3,June 2026,74,Series B,The Column Group; Euclidean Capital; Sanofi Ventures,Active,Full
13,Retro Biosciences,Healthspan extension therapeutics,180,1,April 2022,180,Seed,Sam Altman,Active,Partial
14,Juvenescence,Longevity drug portfolio,165,3,August 2019,100,Series B,Grok Ventures; IPGL; founders,Active,Partial
15,resTORbio,Aging-related mTOR therapeutics,163,3,January 2018,98,IPO,OrbiMed; Fidelity; PureTech,Acquired,Full
16,Cambrian Bio,Healthspan biotech portfolio,160,2,October 2021,100,Series C,Anthos Capital; SALT Fund; Apeiron Investment Group,Active,Full
17,Alzheon,Alzheimer's oral therapeutics,160,4,June 2024,100,Series E,Alerce Medical Technology Partners; Ally Bridge Group,Active,Partial
18,Syntara,ECM-dysfunction drug development,151,8,June 2026,6,Placement / SPP,Institutional investors; sophisticated investors; eligible shareholders,IPO,Partial
19,Aeovian Pharmaceuticals,Selective mTORC1 inhibitors,142,3,December 2025,55,Series B,Luma Group; CTI Life Sciences; Hevolution,Active,Full
20,Longeveron,Regenerative cell therapies,96,8,March 2026,15,Private placement,Coastlands Capital; Janus Henderson Investors; Logos Capital,IPO,Strong
21,Juvena Therapeutics,AI regenerative biologics,84,3,January 2026,34,Series B,Bison Ventures; Eli Lilly; Jefferson Life Sciences,Active,Strong
